id,Nome,Estado,Município Principal,Link
20,"AM - Sem salvaguardas territoriais, povos indígenas em Barcelos são ameaçados por projetos turísticos e pela pesca predatória da região do Baixo Rio Negro",Amazonas, Santa Isabel do Rio,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=20
21,"AM - Saúde indígena, no Alto Rio Negro, comprometida pela falta de estrutura e o excesso de burocracia da Funasa",Amazonas, São Gabriel da Cac,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=21
22,AM - Conflitos e falta de uma política adequada para a população indígena de Manaus,Amazonas, Manaus,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=22
23,"AM - Criação de Reserva Extrativista é ameaçada por Ministério de Minas e Energia, grupos madeireiros, traficantes de tartarugas e governo de Roraima",Amazonas, Novo Airão,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=23
24,BA - Ameaças de morte e de perda de emprego de familiares são utilizados para oprimir a população e desmontar a Reserva Extrativista de Canavieiras ,Bahia, Canavieiras,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=24
25,"BA - Quilombo São Francisco do Paraguaçu luta por seus direitos e contra preconceito, violência e práticas coronelistas",Bahia, Cachoeira,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=25
26,BA - Ambientalistas e comunidades tradicionais formam coalizão vitoriosa pela  economia sustentável e a preservação do Parque dos Abrolhos e do estuário Cassurubá,Bahia, Caravelas,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=26
27,BA- Práticas violentas aterrorizam as famílias de pescadores e marisqueiros da região de Salinas da Margarida,Bahia, Salinas da Margarid,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=27
28,"BA - Indústria e mineração de Chumbo contaminam a água, o solo, afetam a produtividade agrícola, a saúde e a qualidade de vida da população de Santo Amaro da Purificação.",Bahia, Una,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=28
29,"BA - Exploração de Urânio no sudoeste da Bahia envolve licenciamentos obscuros, contaminação, riscos à saúde e falta de transparência na fiscalização da política e da produção nuclear brasileiras",Bahia, Lagoa Real,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=29
30,"BA - Comprometimento dos direitos humanos do Povo Tupinambá da Serra do Padeiro - doenças, violência policial, coronelismo e condições precárias da saúde indígena",Bahia, Una,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=30
31,"Areia Branca: oligarquias, cartórios, forças policiais, para-militares e golpes contra o patrimônio público violentam comunidade centenária às margens do lago de Sobradinho, na Caatinga baiana",Bahia, Casa Nova,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=31
32,BA - Luta dos Pataxó Hã-hã-hãe pela retomada da terra demarcada em 1937: violências contra lideranças Pataxó promovidas por fazendeiros e posseiros para punir os índios e suas pretensões territoriais,Bahia, Pau Brasil,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=32
33,"BA - Movimentos ambientalista, indígena e de pequenos produtores rurais, com apoio do Ministério Público Federal, lutam contra impactos de indústria da Celulose em Eunápolis",Bahia, Santa Cruz Cabráli,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=33
34,BA - Organizações baianas e entidades paulistas atuam em rede e impedem transferência inter-estadual de resíduos altamente tóxicos para incineração na Bahia,Bahia, Camaçari,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=34
35,BA - Divisão interna de comunidade quilombola ameaça realização de direitos e a defesa do território visado pela pressão imobiliária e turística em área privilegiada pelas condições de preservação natural.,Bahia, Mata de São João,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=35
36,"BA - Poluição química na Baía de Todos os Santos contamina de peixes, caranguejos e alguns mariscos, fonte de renda e base alimentar de populações tradicionais e do turismo da região",Bahia, Salvador,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=36
37,"BA - Epidemia do Amianto pode afetar de forma irreparável a saúde de trabalhadores e ex-trabalhadores do setor, porém vários estados brasileiros, inclusive a Bahia, continuam permitindo sua produção",Bahia, Simões Filho,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=37
38,"BA - Comunidade da Ilha da Maré, com apoio de movimentos sociais e entidades públicas, luta para afirmar identidade, titular territórios quilombolas e combater práticas de racismo e degradação ambiental, bem como atividades portuárias e industriais que põem em risco a alimentação e sobrevivência de 500 famílias",Bahia, Salvador,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=38
39,"BA - Povo Tupinambá tem estratégia para enfrentar políticos e elites com práticas coloniais, preconceituosas e violentas",Bahia, Una,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=39
40,"CE - Apropriação da zona costeira, pelo agronegócio e o turismo internacional, coloca em risco terras tradicionais dos povos Tremembé",Ceará, Itarema,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=40
41,"CE - Exploração de camarão em viveiros, a carcinicultura é fortemente apoiada por bancos públicos de fomento, compromete fontes naturais de água doce e coloca em risco a sobrevivência de comunidades tradicionais marisqueiras e pescadoras do Cumbe, Ceará",Ceará, Paraipaba,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=41
42,"CE - Pioneiros na luta dos povos indígenas do Ceará, os índios Tapeba enfrentam o preconceito e as velhas oligarquias cearenses, mas vencem a invisibilidade pela arregimentação de forte corrente social na luta pela realização dos seus direitos",Ceará, Caucaia,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=42
43,CE - A resistência do rio Cocó e da comunidade ambientalista à destruição da principal região de mangue de Fortaleza,Ceará, Fortaleza,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=43
44,CE - Empreendimento turístico de massa esbarra em grupos de mulheres pescadoras em Caetanos e ameaça a preservação das atividades e costumes de comunidades litorâneas tradicionais do Ceará,Ceará, Itapipoca,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=44
45,CE - Povo Anacé é desrespeitado e expulso de seu território para construção do Complexo Industrial e Portuário do Pecém,Ceará, São Gonçalo do Am,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=45
46,"CE - Um dos primeiros povos indígenas contactados do Brasil, os Jenipapo Kanindé, descendentes dos Bayaku, lutam para vencer preconceitos, empresários sucroalcooleiros e projetos de enquadramento turístico",Ceará, Aquiraz,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=46
47,CE - Uso indiscriminado de agrotóxicos contamina recursos hídricos e é a provável razão da forte incidência de câncer em populações trabalhadoras e moradoras do vale do Jaguaribe,Ceará, Tabuleiro do Norte,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=47
48,"CE - No município de Cascavel, gestão insustentável de viveiros de camarão é mais um retrato das ações danosas da carcinicultura",Ceará, Itapipoca,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=48
49,"MA - Quebradeiras de coco de babaçu denunciam situação de violência e exploração do trabalho na região do Rio Mearim, no Maranhão",Maranhão, São Luís Gonzaga ,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=49
50,"MA - Indústria Guseira, Contaminação da Água, Falta de Segurança e Condições Impróprias à Vida e à Saúde dos Moradores do Distrito Industrial de Pequiá (Açailândia)",Maranhão, Açailândia,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=50
51,"MA - Projeto Grande Carajás, Usina Hidréletrica de Estreito e pressão agrícola sobre as Populações Ribeirinhas e os Povos Indígenas do rio Tocantins",Maranhão, Estreito,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=51
52,"MA - Pólo siderúrgico e industrial na Ilha de São Luis - imbróglio envolve grandes empresas, Estado e Comunidades Tradicionais",Maranhão, São Luís,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=52
53,MA - Comunidade Quilombola de Alcântara continua luta contra o Centro de Lançamento e pelo seu direito de ficar na terra,Maranhão, Alcântara,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=53
54,MA - Povo Guajajara e a violência de madeireiros no Maranhão,Maranhão, Amarante do Maranh?,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=54
55,"MA - Pequenos agricultores do Maranhão lutam contra monocultura da soja, migração e deterioração ambiental, da saúde e do trabalho",Maranhão, Tasso Fragoso,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=55
56,MA - Baixo Parnaíba do Maranhão: quilombolas e agricultores familiares lutam contra  cadeia minero-siderúrgica e monoculturas,Maranhão, Urbano Santos,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=56
57,MT - Dificuldades dos Paresi para a conquista de seus direitos e território  e o apoio decisivo do MPF para evitar a concessão e o licenciamento da PCH Ponte de Pedra,Mato Grosso, Nova Maringá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=57
58,MT - Conflito por terras públicas em Jaciara - famílias sem-terra não conseguem sequer a quarta parte de 10 mil hectares apropriados por fazendeiros,Mato Grosso, Jaciara,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=58
59,"MT - Funai, Ministério Público e Polícia Federal dão bom exemplo na defesa do povo Kawashiva, ameaçado de extinção pela ação de grileiros e madeireiros",Mato Grosso, Colniza,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=59
60,MT - Grilagem de terras públicas federais dificulta assentamento da reforma agrária no Mato Grosso,Mato Grosso, Porto Alegre do Nor,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=60
61,MT - Desestruturação social e comprometimento da reprodução de peixes por hidrelétrica de Manso,Mato Grosso, Várzea Grande,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=61
62,MT - Sofrimento e perseguição do povo Bororo no Mato Grosso,Mato Grosso, Poxoréo,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=62
63,"MT - Povo Xavante enfrenta grileiros e oportunistas, que se valem de violência, do lobby político e das fragilidades e ineficiência dos poderes Judiciário e Executivo para a protelação e usurpação dos seus direitos territoriais",Mato Grosso, São Félix do Arag,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=63
64,MT - Consciência do Povo Enawenê Nawê não se dobra às tentativas de negociar a descaracterização de seu habitat e modo de vida tradicional,Mato Grosso, Sapezal,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=64
65,"MT - Precariedade do atendimento à saúde indígena, terceirização, falta de estrutura e inconstância do dever do Estado já levou à morte muitas crianças Xavante",Mato Grosso, São Félix do Arag,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=65
66,"MT - Brasil licenciou hidrelétrica (PCH Paranatinga II) em local sagrado da primeira cerimonia Kuarup, um dos mais importantes patrimônios imateriais da cultura brasileira - a celebração aos mortos ilustres do Alto Xingu",Mato Grosso, Paranatinga,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=66
67,"MT - Comunidade quilombola de Mata Cavalo - apesar da conquista da titulação, ainda expulsa e sob ameaças",Mato Grosso, Nossa Senhora do Li,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=67
68,MT - Trabalho análogo às condições da escravidão campeia no Mato Grosso - até empresa de ex-presidente dos Estados Unidos foi flagrada submetendo trabalhadores a condições degradantes,Mato Grosso, Vera,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=68
69,"MT - Com participação social e muita mobilização, Plano BR 163 Sustentável não convence sociedade organizada do Mato Grosso e Pará",Mato Grosso, Cuiabá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=69
70,PA - Insatisfação sobre o atendimento à saúde indígena provoca mudanças na política de assistência do governo federal,Pará, São Félix do Xing,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=70
71,PA - Estrada de Ferro e Projeto Grande Carajás avançam sobre Terras Indígenas,Pará, Parauapebas,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=71
72,"PA - Mineração de caulim contamina recursos hídricos e compromete a subsistência de comunidades da Vila do Conde, em Barcarena",Pará, Barcarena,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=72
73,PA - Perversidades sociais e ambientais no caminho da Estrada de Ferro Carajás,Pará, Marabá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=73
74,PA - Mineração de níquel expulsa pequenos trabalhadores rurais e povos indígenas no Sudeste do Pará,Pará, São Félix do Xing,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=74
75,"PA - Complexo hidrelétrico de Belo Monte ameaça povos indígenas, ribeirinhos e parte da população de Altamira",Pará, Vitória do Xingu,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=75
76,"PA - Conflitos entre a atividade mineradora e comunidades tradicionais extrativistas no extremo oeste do Pará: deterioração de igarapés, lagos e corte de matas e castanheiras",Pará, Juruti,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=76
77,PA - Poder estatal e dominação territorial contra os quilombolas extrativistas do Trombetas,Pará, Oriximiná,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=77
78,"PA - Pequenos produtores rurais da região de Santarém são expulsos pelo avanço da soja, além de sofrer com os danos à saúde causados pelos agrotóxicos usados pela monocultura",Pará, Santarém,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=78
79,"PA - Comunidades quilombolas de Moju sofrendo com a contaminação dos rios e igarapés, em virtude de vazamentos do mineroduto de caulim ",Pará, Moju,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=79
80,SE - Reconhecimento e titulação da comunidade de Lagoa Nova não barram violência e protelação de usineiros na justiça,Sergipe, Pacatuba,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=80
81,SE - Avanço da indústria do turismo sobre territórios tradicionais e pescadores do litoral de Sergipe: aviltamento do Plano Diretor de Aracaju para satisfazer ao interesse econômico,Sergipe, Aracaju,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=81
82,"SE - Vitória Quilombola em Porto da Folha, mas dificuldades para promover a educação e a saúde da comunidade do Mocambo",Sergipe, Porto da Folha,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=82
83,SE - Quilombolas de Pontal dos Crioulos lutam contra a violência e pela titulação,Sergipe, Telha,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=83
84,SE - Pescadores de Resina lutam contra expulsão por construtora de mega resort,Sergipe, Brejo Grande,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=84
85,SE - Ameaças de violência contra quilombolas de Brejão dos Negros que lutam pela titulação atingem também padre e bispo,Sergipe, Brejo Grande,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=85
86,"SE - População quilombola do segundo quilombo urbano reconhecido no País sofre discriminação, racismo e violência",Sergipe, Aracaju,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=86
87,"SE - ??ltima etnia indígena de Sergipe, os Xocó-Kuará da Ilha de São Pedro sofrem por falta de atendimento médico, sanitário e educacional",Sergipe, Porto da Folha,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=87
88,MS - (In)segurança do trabalho na indústria da alimentação,Mato Grosso do Sul, Sidrolândia,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=88
89,"MS - O Martírio de um Grande Povo - identidade, afirmação e reconhecimento dos direitos e terras dos Guarani-Kaiowá",Mato Grosso do Sul, Dourados,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=89
90,MS - Violência econômica e territorial contra o Povo Terena,Mato Grosso do Sul, Sidrolândia,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=90
91,"MS - Quilombo Dezidério Felipe de Oliveira, em Dourados, enfrenta a resistência de produtores rurais de soja e milho para obter a titulação de seu território",Mato Grosso do Sul, Dourados,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=91
92,"MS - Carvão para Siderurgia e Mineração ameaça terras indígenas, águas, cerrado e matas do Pantanal",Mato Grosso do Sul, Ribas do Rio Pardo,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=92
93,MS - Cultivo de Cana-de-Açúcar ameaça o Pantanal,Mato Grosso do Sul, Corumbá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=93
94,RN - Atividade de Carcinicultura é acusada de degradação ambiental no Rio Grande do Norte,Rio Grande do Norte, Senador Georgino Av,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=94
95,"RN - Resgatando suas origens, os ""caboclos"" indígenas Eleotérios enfrentam preconceitos e a apropriação açucareira sobre seu território tradicional","Rio Grande do Norte,", João Câmara,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=95
96,"RN - Transposição do rio São Francisco é questionada por técnicos, movimentos socioambientais, religiosos, comunidades indígenas e de pescadores. Vinculação a projetos do agronegócio poderá intensificar a desertificação da região Nordeste","Rio Grande do Norte,", Mossoró,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=96
97,"RN - Rio estratégico para o abastecimento e desenvolvimento do Rio Grande do Norte, o Piranha-Açu vem sendo poluído por companhias de saneamento, indústrias, atividades agrícolas e pela ocupação ilegal de suas margens, o que também concorre para o assoreamento da bacia.","Rio Grande do Norte,", Porto do Mangue,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=97
98,RN - Trabalho escravo é flagrado em fazendas subsidiadas com recursos públicos no Rio Grande do Norte,Rio Grande do Norte, Açu,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=98
99,RN - Empresa de carcinicultura e governo estadual são acusados por desastre ambiental no rio Potengi,Rio Grande do Norte, Natal,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=99
100,"RN - Epidemia invisível do Amianto coloca em risco saúde de homens e mulheres potiguares, destacadamente no município de Açu. Desde a década de 1960 a população convive com a distribuição de água por tubulações de amianto. Assembleia Legislativa bane o uso da substância no Estado",Rio Grande do Norte, Açu,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=100
101,RN - Comunidade Quilombola de Acauã seguiu os passos do reconhecimento e está prestes a ter seu território tradicional titulado,Rio Grande do Norte, Poço Branco,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=101
102,"RN - Mal uso do solo e uso intenso dos recursos hídricos amplia desertificação no Nordeste, e conflitos sobre uso das águas vêm aumentando. 95% do território do Rio Grande do Norte já apresentaram sinais do estresse natural",Rio Grande do Norte, São José do Serid,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=102
103,RJ - Indústria a ser implantada ameaça moradores de Paracambi e a bacia do Guandu de contaminação química,Rio de Janeiro, Paracambi,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=103
104,"RJ - Pressionados pela explosão imobiliária, a família Pinto preserva a Mata Atlântica e luta pelo reconhecimento do Quilombo do Sacopã, na cidade do Rio de Janeiro ",Rio de Janeiro, Rio de Janeiro,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=104
105,"RJ - Pescadores artesanais sofrem ameaças,  violências e até morte, ao defender seu direito ao trabalho na Baía de Guanabara",Rio de Janeiro, Magé,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=105
106,"RJ - Comunidade Quilombola da Pedra do Sal, berço de Donga, Pixinguinha e João da Baiana, luta para ter seu espaço garantido",Rio de Janeiro, Rio de Janeiro,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=106
107,"RJ - Índios Guarani-Mbyá sem espaço para viver em Paraty se instalam em área protegida de Camboinhas, decididos a preservar sambaquis, mas sofrem violência e lutam contra a expulsão",Rio de Janeiro, Parati,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=107
108,RJ - Pescadores artesanais e suas famílias têm direitos violados ao serem obrigadas a viver sob o controle do Exército em Imbuhy,Rio de Janeiro, Niterói,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=108
109,"RJ - Pescadores artesanais, quilombolas e outros moradores do entorno da Baía de Sepetiba: sem peixes, expostos a contaminações e ameaçados por milícias ligadas a empreendimentos em construção",Rio de Janeiro, Rio de Janeiro,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=109
110,RJ - Cidade dos Meninos: décadas de contaminação e doença versus o desejo da moradia,Rio de Janeiro, Duque de Caxias,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=110
111,RJ - Quilombo de Preto Forro continua aguardando a titulação sob violência e ameaças,Rio de Janeiro, Valença,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=111
112,"RJ - Apesar de reconhecidos oficialmente, quilombolas de Santa Rita do Bracuí continuam a lutar contra empresa que tomou seu território",Rio de Janeiro, Angra dos Reis,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=112
113,"RJ - Jardim Gramacho - catadores de materiais recicláveis lutam pelo direito ao trabalho, apesar das condições de marginalização, doenças e insalubridade",Rio de Janeiro, São João de Merit,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=113
114,"RJ - No Morro das Andorinhas, moradores centenários resistem às pressões de uma visão de meio-ambiente que desrespeita a própria lei",Rio de Janeiro, Niterói,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=114
115,"RJ - Tentativa de construção de aterros de lixo no Rio de Janeiro no bairro de Paciência e no município de Seropédica enfrentam protestos dos moradores, ambientalistas, do Ministério Público, do TCU e da Aeronáutica",Rio de Janeiro, Seropédica,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=115
116,RJ - Pescadores artesanais da APA de Maricá lutam contra a instalação de mega resort,Rio de Janeiro, Maricá,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=116
117,"RJ - Construção de Complexo Petroquímico (COMPERJ) promete empregos e progresso, mas afeta 11 municípios, traz riscos à população e contrapõe os Executivos com o TCU e o MPF, que questionam a obra",Rio de Janeiro, Itaboraí,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=117
118,"RJ - Além da exposição à contaminação decorrente das atividades de um complexo químico industrial, população da Baixada Fluminense ainda recebe lixo tóxico de Cubatão, São Paulo",Rio de Janeiro, Belford Roxo,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=118
119,"RJ - Despejo de produto tóxico por indústria no Rio Paraitinga, em Resende, deixa mais de 20 mil pescadores sem poder trabalhar por meses e afeta o abastecimento d'água de 700 mil pessoas",Rio de Janeiro, Volta Redonda,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=119
120,"RJ - Povos indígenas, quilombolas, caiçaras, pescadores e ribeirinhos são expulsos de suas terras por políticas equivocadas de ""conservação"" do meio ambiente",Rio de Janeiro, Parati,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=120
121,RJ - Fragilidade no processo de licenciamento ambiental do Complexo Portuário de Açu coloca em risco comunidades de 32 municípios dos estados de Minas Gerais e Rio de Janeiro,Rio de Janeiro, São João da Barra,http://www.conflitoambiental.icict.fiocruz.br/index.php?pag=ficha&cod=121
